NTDLL dump: 
NtSetDefaultHardErrorPort address: 0x775ed9a0
NtSetDefaultLocale address: 0x775ed9b0
NtSetDefaultUILanguage address: 0x775ed9c0
NtSetDriverEntryOrder address: 0x775ed9d0
NtSetEaFile address: 0x775ed9e0
NtSetEvent address: 0x775ec3d0
NtSetEventBoostPriority address: 0x775ec5c0
NtSetHighEventPair address: 0x775ed9f0
NtSetHighWaitLowEventPair address: 0x775eda00
NtSetIRTimer address: 0x775eda10
NtSetInformationDebugObject address: 0x775eda20
NtSetInformationEnlistment address: 0x775eda30
NtSetInformationFile address: 0x775ec560
NtSetInformationJobObject address: 0x775eda40
NtSetInformationKey address: 0x775eda50
NtSetInformationObject address: 0x775ec8b0
NtSetInformationProcess address: 0x775ec4b0
NtSetInformationResourceManager address: 0x775eda60
NtSetInformationThread address: 0x775ec3c0
NtSetInformationToken address: 0x775eda70
NtSetInformationTransaction address: 0x775eda80
NtSetInformationTransactionManager address: 0x775eda90
NtSetInformationVirtualMemory address: 0x775edaa0
NtSetInformationWorkerFactory address: 0x775edab0
NtSetIntervalProfile address: 0x775edac0
NtSetIoCompletion address: 0x775edad0
NtSetIoCompletionEx address: 0x775edae0
NtSetLdtEntries address: 0x775edaf0
NtSetLowEventPair address: 0x775edb00
NtSetLowWaitHighEventPair address: 0x775edb10
NtSetQuotaInformationFile address: 0x775edb20
NtSetSecurityObject address: 0x775edb30
NtSetSystemEnvironmentValue address: 0x775edb40
NtSetSystemEnvironmentValueEx address: 0x775edb50
NtSetSystemInformation address: 0x775edb60
NtSetSystemPowerState address: 0x775edb70
NtSetSystemTime address: 0x775edb80
NtSetThreadExecutionState address: 0x775edb90
NtSetTimer address: 0x775ec910
NtSetTimer2 address: 0x775edba0
NtSetTimerEx address: 0x775edbb0
NtSetTimerResolution address: 0x775edbc0
NtSetUuidSeed address: 0x775edbd0
NtSetValueKey address: 0x775ec8f0
NtSetVolumeInformationFile address: 0x775edbe0
NtSetWnfProcessNotificationEvent address: 0x775edbf0
NtShutdownSystem address: 0x775edc00
NtShutdownWorkerFactory address: 0x775edc10
NtSignalAndWaitForSingleObject address: 0x775edc20
NtSinglePhaseReject address: 0x775edc30
NtStartProfile address: 0x775edc40
NtStopProfile address: 0x775edc50
NtSubscribeWnfStateChange address: 0x775edc60
NtSuspendProcess address: 0x775edc70
NtSuspendThread address: 0x775edc80
NtSystemDebugControl address: 0x775edc90
NtTerminateJobObject address: 0x775edca0
NtTerminateProcess address: 0x775ec5b0
NtTerminateThread address: 0x775ec820
NtTestAlert address: 0x775edcb0
NtThawRegistry address: 0x775edcc0
NtThawTransactions address: 0x775edcd0
NtTraceControl address: 0x775edce0
NtTraceEvent address: 0x775ec8d0
NtTranslateFilePath address: 0x775edcf0
NtUmsThreadYield address: 0x775edd00
NtUnloadDriver address: 0x775edd10
NtUnloadKey address: 0x775edd20
NtUnloadKey2 address: 0x775edd30
NtUnloadKeyEx address: 0x775edd40
NtUnlockFile address: 0x775edd50
NtUnlockVirtualMemory address: 0x775edd60
NtUnmapViewOfSection address: 0x775ec590
NtUnmapViewOfSectionEx address: 0x775edd70
NtUnsubscribeWnfStateChange address: 0x775edd80
NtUpdateWnfStateData address: 0x775edd90
NtVdmControl address: 0x775edda0
NtWaitForAlertByThreadId address: 0x775eddb0
NtWaitForDebugEvent address: 0x775eddc0
NtWaitForKeyedEvent address: 0x775eddd0
NtWaitForMultipleObjects address: 0x775ec8a0
